sessionUID,trackId,sessionType,weather,trackTemperaure,airTemperature,frontWing,rearWing,onThrottle,offThrottle,frontCamber,rearCamber,frontToe,rearToe,frontSuspension,rearSuspension,frontAntiRollBar,rearAntiRollBar,frontSuspensionHeight,rearSuspensionHeight,rearLeftTyrePressure,rearRightTyrePressure,frontLeftTyrePressure,frontRightTyrePressure,ballast,brakePressure,brakeBias,fuelMix,fuelInTank,tyresWear,actualTyreCompound,tyresAgeLaps,lastLapTime,currentLapNum
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,36.225215911865234,2.25,19,1,85.99406433105469,1
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,34.300968170166016,3.5,19,2,85.66647338867188,2
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,32.34050750732422,4.75,19,3,85.40545654296875,3
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,30.36573028564453,6.0,19,4,85.4049072265625,4
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,28.4161319732666,7.25,19,5,85.418701171875,5
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,26.455078125,9.0,19,6,85.45233154296875,6
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,24.498308181762695,10.0,19,7,85.76458740234375,7
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,2,21.94400405883789,11.5,19,8,84.85302734375,8
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,2,19.40037727355957,12.5,19,9,85.00201416015625,9
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,17.421709060668945,13.75,19,10,85.3641357421875,10
